DATE,WDDNS
1993-10-25,372.4
1993-11-01,383.5
1993-11-08,387.9
1993-11-15,395.1
1993-11-22,385.0
1993-11-29,390.5
1993-12-06,398.1
1993-12-13,397.1
1993-12-20,400.7
1993-12-27,403.8
1994-01-03,415.8
1994-01-10,402.9
1994-01-17,397.1
1994-01-24,380.4
1994-01-31,376.5
1994-02-07,381.7
1994-02-14,382.3
1994-02-21,377.5
1994-02-28,376.3
1994-03-07,382.5
1994-03-14,382.9
1994-03-21,377.2
1994-03-28,372.9
1994-04-04,394.6
1994-04-11,394.8
1994-04-18,394.1
1994-04-25,377.9
1994-05-02,380.6
1994-05-09,382.2
1994-05-16,383.1
1994-05-23,369.6
1994-05-30,371.8
1994-06-06,388.5
1994-06-13,386.3
1994-06-20,381.7
1994-06-27,370.9
1994-07-04,388.0
1994-07-11,394.7
1994-07-18,389.8
1994-07-25,377.7
1994-08-01,385.2
1994-08-08,385.4
1994-08-15,388.0
1994-08-22,379.6
1994-08-29,375.4
1994-09-05,388.7
1994-09-12,390.7
1994-09-19,385.2
1994-09-26,374.7
1994-10-03,387.3
1994-10-10,390.6
1994-10-17,395.6
1994-10-24,380.3
1994-10-31,382.1
1994-11-07,388.7
1994-11-14,393.0
1994-11-21,390.5
1994-11-28,389.4
1994-12-05,398.2
1994-12-12,397.3
1994-12-19,399.6
1994-12-26,397.7
1995-01-02,409.2
1995-01-09,406.0
1995-01-16,394.9
1995-01-23,378.5
1995-01-30,371.4
1995-02-06,379.8
1995-02-13,375.6
1995-02-20,373.0
1995-02-27,371.0
1995-03-06,379.2
1995-03-13,376.9
1995-03-20,374.2
1995-03-27,366.3
1995-04-03,379.0
1995-04-10,387.2
1995-04-17,391.2
1995-04-24,375.1
1995-05-01,374.4
1995-05-08,374.3
1995-05-15,376.5
1995-05-22,370.2
1995-05-29,368.1
1995-06-05,386.3
1995-06-12,384.8
1995-06-19,382.0
1995-06-26,372.0
1995-07-03,389.8
1995-07-10,396.3
1995-07-17,389.3
1995-07-24,377.7
1995-07-31,385.0
1995-08-07,389.1
1995-08-14,388.9
1995-08-21,386.8
1995-08-28,378.2
1995-09-04,386.9
1995-09-11,395.4
1995-09-18,389.4
1995-09-25,380.5
1995-10-02,387.9
1995-10-09,393.6
1995-10-16,397.1
1995-10-23,386.7
1995-10-30,384.2
1995-11-06,396.1
1995-11-13,394.4
1995-11-20,397.4
1995-11-27,393.5
1995-12-04,398.9
1995-12-11,404.0
1995-12-18,402.5
1995-12-25,407.7
1996-01-01,421.1
1996-01-08,416.5
1996-01-15,407.7
1996-01-22,389.9
1996-01-29,379.0
1996-02-05,392.0
1996-02-12,386.6
1996-02-19,389.5
1996-02-26,382.2
